player,org,agents,rounds,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
ZerG,TI,"killjoy,jett,chamber",391,232.1,1.11,72,154.0,0.81,0.16,0.14,0.12,30,13
kon4n,TBK,"raze,kayo,neon",203,232.1,1.07,69,146.7,0.78,0.27,0.11,0.15,26,19
Cyn,TK,"raze,sova,breach",322,232.0,1.03,73,155.5,0.79,0.30,0.09,0.05,21,15
swag,FIAP,"killjoy,sage,viper",242,231.9,0.98,64,154.2,0.77,0.19,0.08,0.11,27,25
celestial,celestial,"reyna,kayo",220,231.8,1.12,72,145.3,0.83,0.27,0.15,0.12,28,6
SunflowerWu,SJG,"jett,viper,skye",396,231.6,1.03,71,158.0,0.80,0.20,0.14,0.12,24,7
JA,JA,"jett,reyna,astra",543,231.5,1.19,69,147.4,0.83,0.22,0.14,0.12,28,20
shadow,PER,"raze,jett",393,231.5,1.11,68,147.9,0.83,0.12,0.15,0.13,31,10
SiuFatBB,SiuFatBB,"raze,kayo,skye",289,231.4,1.25,74,146.8,0.80,0.30,0.12,0.11,26,16
Ambi,CASE,"raze,jett",352,231.4,1.13,74,149.3,0.79,0.20,0.20,0.16,24,18
Secret,DK,"raze,sova,neon",284,231.4,0.90,66,151.8,0.73,0.27,0.10,0.12,17,6
havoc,havoc,"jett,kayo,skye",261,231.3,1.12,71,149.2,0.80,0.29,0.15,0.15,31,5
penny,V1,"jett,chamber",367,231.1,1.16,72,147.4,0.80,0.17,0.17,0.14,22,27
riku,PK.A,"killjoy,sova,kayo",701,231.0,1.11,68,149.1,0.80,0.25,0.13,0.10,19,17
daiki,TL,"raze,sova,breach",486,231.0,1.43,79,150.8,0.82,0.32,0.08,0.05,30,28
WhyYou,WhyYou,"raze,jett,breach",809,230.9,1.15,71,152.1,0.81,0.18,0.15,0.11,26,16
alvar,FAL,"jett,breach,chamber",582,230.8,1.18,70,147.3,0.84,0.21,0.18,0.14,28,17
zeldris,MR,"raze,jett",665,230.5,1.11,65,145.5,0.82,0.13,0.18,0.21,25,16
Chadi,iPon,"jett,skye",230,230.5,1.08,70,148.8,0.82,0.18,0.22,0.20,24,31
aNNja,GUILD,"breach,kayo,neon",246,230.4,1.19,76,146.6,0.77,0.43,0.12,0.07,27,11
