player,org,agent,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
Kryptix,MOUZ,astra,157.1,0.81,70,111.4,0.54,0.27,0.02,0.06,23,15
sarahcat,IMT,breach,268.5,1.58,77,171.1,0.96,0.21,0.14,0.08,32,27
Depyro,RAAD,breach,219.8,1.33,77,137.8,0.81,0.20,0.08,0.08,22,23
Hoax,GP,breach,218.0,1.07,72,139.9,0.76,0.26,0.05,0.08,21,10
GodDead,ONS,breach,203.4,1.00,67,128.1,0.70,0.22,0.09,0.10,25,24
Jamppi,TL,breach,202.4,1.07,71,129.0,0.74,0.11,0.11,0.08,26,10
ALEKSANDAR,Skwi,breach,201.0,1.21,79,132.8,0.73,0.36,0.04,0.06,43,18
vice,NYFU,breach,199.3,1.12,74,131.8,0.72,0.23,0.05,0.06,24,12
Knight,Knight,breach,198.5,1.09,75,128.9,0.74,0.25,0.09,0.08,28,8
showliana,DIG,breach,197.8,0.95,67,129.0,0.69,0.27,0.10,0.07,25,19
Scargod,RNT,breach,197.6,0.91,67,127.5,0.70,0.29,0.06,0.12,30,20
KP,SR,breach,196.8,1.13,72,127.3,0.75,0.23,0.06,0.07,30,5
prince,LOS,breach,195.4,1.11,76,133.0,0.71,0.17,0.08,0.07,23,9
gMd,TSM,breach,193.9,1.06,71,126.7,0.76,0.36,0.06,0.08,33,14
dre,TLPR,breach,191.7,0.96,71,127.3,0.66,0.31,0.04,0.07,37,22
shonk,ZMM.B,breach,190.3,1.18,74,123.8,0.72,0.27,0.04,0.05,41,24
jeyj7y,PRL,breach,188.1,0.90,71,125.4,0.67,0.22,0.08,0.08,32,12
leak,RESO,breach,183.1,0.95,71,123.3,0.66,0.23,0.04,0.09,29,20
HellrangeR,GES,breach,182.8,1.04,70,119.1,0.69,0.19,0.05,0.10,31,30
LEXY,BLD,breach,182.2,0.97,70,117.1,0.68,0.22,0.04,0.08,21,27
xeta,C9,breach,179.5,1.04,78,118.6,0.64,0.24,0.07,0.06,22,29
Kishi,CES,breach,178.6,0.87,67,120.8,0.61,0.22,0.04,0.10,33,31
Crws,XIA,breach,174.7,0.88,73,118.1,0.61,0.23,0.05,0.06,21,24
AnnieDro,C9W,breach,173.1,1.07,74,114.1,0.60,0.25,0.05,0.03,20,11
itnothan,CLG,breach,171.7,0.97,73,114.7,0.63,0.23,0.06,0.05,18,11
lyNxi,RBLS,breach,165.0,0.88,73,111.3,0.61,0.25,0.05,0.06,31,4
crow,ZETA,breach,164.9,0.96,73,110.4,0.60,0.23,0.04,0.05,24,11
bmVz,FCY,breach,162.4,0.98,79,104.3,0.61,0.34,0.04,0.04,30,15
LockM,LockM,breach,161.2,0.95,72,108.7,0.62,0.29,0.06,0.07,33,25
FNS,OPTC,breach,160.6,0.84,68,107.6,0.57,0.18,0.03,0.06,21,8
agM,COL,breach,153.8,0.87,75,105.1,0.55,0.25,0.05,0.02,24,16
KONEQT,S1,breach,153.4,0.80,69,101.3,0.55,0.25,0.05,0.05,28,12
flyuh,FaZe,breach,145.9,0.74,76,99.9,0.49,0.30,0.06,0.04,32,7
FengF,FengF,breach,144.9,0.78,68,97.7,0.52,0.21,0.02,0.05,34,13
shirazi,BRNV,brimstone,234.1,1.18,77,152.4,0.79,0.53,0.13,0.09,22,7
kat,C9W,brimstone,232.5,1.29,80,148.7,0.80,0.42,0.10,0.08,31,31
Andersin,DZ,brimstone,223.2,1.16,76,140.7,0.76,0.51,0.08,0.09,24,25
Ange,DZ,brimstone,220.1,1.26,76,135.3,0.75,0.56,0.05,0.05,23,13
